source,canonical_id,original_id,min_max_label,percentile_label,threshold_label,average_score,number_atoms,score_std
gat_exp2,box1674,sdf_2-piezo-sdf_2-graphs-5A/unlabeled/box1674-filtered_graphs.npy,PseudoPositive,PseudoPositive,Positive,0.8541166937351227,37,0.1110363572599998
gat_exp3,box1674,sdf_2-piezo-sdf_2-graphs-5A/unlabeled/box1674-filtered_graphs.npy,PseudoPositive,PseudoPositive,Positive,0.8645387041568756,37,0.0861826472485134
gat_exp4,box1674,sdf_2-piezo-sdf_2-graphs-5A/unlabeled/box1674-filtered_graphs.npy,PseudoPositive,PseudoPositive,Positive,0.8448563647270203,37,0.1485464428915902
gnn_exp2,box1682,sdf_2-piezo-graph-5A/unlabeled/box1682-filtered_combined_matrix.npy,PseudoPositive,StrongPositive,Positive,0.915923274755478,60,0.0911246566511523
gnn_exp3,box1682,sdf_2-piezo-graph-5A/unlabeled/box1682-filtered_combined_matrix.npy,PseudoPositive,StrongPositive,Positive,0.9269899952411652,60,0.1009927044273558
gnn_exp4,box1682,sdf_2-piezo-graph-5A/unlabeled/box1682-filtered_combined_matrix.npy,PseudoPositive,StrongPositive,Positive,0.8401390719413757,60,0.1549656252997844
gnn_exp5,box1682,sdf_2-piezo-graph-5A/unlabeled/box1682-filtered_combined_matrix.npy,PseudoPositive,PseudoPositive,Positive,0.8101669183373451,60,0.1673724915912256
gat_exp1,box1701,sdf_2-piezo-sdf_2-graphs-5A/unlabeled/box1701-filtered_graphs.npy,PseudoPositive,StrongPositive,Positive,0.9758329558372496,47,0.020110756232003
gat_exp2,box1701,sdf_2-piezo-sdf_2-graphs-5A/unlabeled/box1701-filtered_graphs.npy,PseudoPositive,StrongPositive,Positive,0.9769731485843658,47,0.0195602604360309
gat_exp3,box1701,sdf_2-piezo-sdf_2-graphs-5A/unlabeled/box1701-filtered_graphs.npy,StrongPositive,StrongPositive,Positive,0.98922820687294,47,0.0096350387595378
gat_exp4,box1701,sdf_2-piezo-sdf_2-graphs-5A/unlabeled/box1701-filtered_graphs.npy,PseudoPositive,StrongPositive,Positive,0.9875943875312804,47,0.0109865582219544
gat_exp5,box1701,sdf_2-piezo-sdf_2-graphs-5A/unlabeled/box1701-filtered_graphs.npy,PseudoPositive,StrongPositive,Positive,0.96197691321373,47,0.0428086553006456
gcn_exp1,box1701,sdf_2-piezo-sdf_2-graphs-5A/unlabeled/box1701-filtered_graphs.npy,PseudoPositive,PseudoPositive,Positive,0.8078748878091574,47,0.2407333250991546
gcn_exp2,box1701,sdf_2-piezo-sdf_2-graphs-5A/unlabeled/box1701-filtered_graphs.npy,PseudoPositive,PseudoPositive,Positive,0.8486610245704651,47,0.1834537075730826
gcn_exp3,box1701,sdf_2-piezo-sdf_2-graphs-5A/unlabeled/box1701-filtered_graphs.npy,PseudoPositive,StrongPositive,Positive,0.9178896403312684,47,0.1223812707471877
gcn_exp4,box1701,sdf_2-piezo-sdf_2-graphs-5A/unlabeled/box1701-filtered_graphs.npy,PseudoPositive,StrongPositive,Positive,0.9162712955474852,47,0.1182756007556078
gcn_exp5,box1701,sdf_2-piezo-sdf_2-graphs-5A/unlabeled/box1701-filtered_graphs.npy,PseudoPositive,PseudoPositive,Positive,0.8548030757904053,47,0.1728069733231271
gnn_exp1,box1701,sdf_2-piezo-graph-5A/unlabeled/box1701-filtered_combined_matrix.npy,StrongPositive,StrongPositive,Positive,0.9625640988349916,47,0.030376509887842
gnn_exp2,box1701,sdf_2-piezo-graph-5A/unlabeled/box1701-filtered_combined_matrix.npy,PseudoPositive,StrongPositive,Positive,0.9601357054710388,47,0.0436261540130703
gnn_exp3,box1701,sdf_2-piezo-graph-5A/unlabeled/box1701-filtered_combined_matrix.npy,StrongPositive,StrongPositive,Positive,0.954372307062149,47,0.0446696643306472
gnn_exp4,box1701,sdf_2-piezo-graph-5A/unlabeled/box1701-filtered_combined_matrix.npy,StrongPositive,StrongPositive,Positive,0.980616000890732,47,0.0169244454257533
gnn_exp5,box1701,sdf_2-piezo-graph-5A/unlabeled/box1701-filtered_combined_matrix.npy,StrongPositive,StrongPositive,Positive,0.9770058619976044,47,0.0191099499519087
gnn_exp4,box1703,sdf_2-piezo-graph-5A/unlabeled/box1703-filtered_combined_matrix.npy,PseudoPositive,PseudoPositive,Positive,0.8214849388599396,51,0.1034998820966038
gat_exp1,box1714,sdf_2-piezo-sdf_2-graphs-5A/unlabeled/box1714-filtered_graphs.npy,PseudoPositive,PseudoPositive,Positive,0.850345003604889,41,0.1050553792557492
gat_exp2,box1714,sdf_2-piezo-sdf_2-graphs-5A/unlabeled/box1714-filtered_graphs.npy,PseudoPositive,PseudoPositive,Positive,0.8983124279975891,41,0.0833998097189793
gat_exp3,box1714,sdf_2-piezo-sdf_2-graphs-5A/unlabeled/box1714-filtered_graphs.npy,PseudoPositive,StrongPositive,Positive,0.9202092266082764,41,0.0455498113790146
gat_exp4,box1714,sdf_2-piezo-sdf_2-graphs-5A/unlabeled/box1714-filtered_graphs.npy,PseudoPositive,StrongPositive,Positive,0.9047564232349397,41,0.0681385805424423
gnn_exp1,box1714,sdf_2-piezo-graph-5A/unlabeled/box1714-filtered_combined_matrix.npy,PseudoPositive,PseudoPositive,Positive,0.8161999928951263,41,0.1102438263357367
gnn_exp2,box1714,sdf_2-piezo-graph-5A/unlabeled/box1714-filtered_combined_matrix.npy,PseudoPositive,PseudoPositive,Positive,0.8353624111413955,41,0.0967407179721628
gnn_exp3,box1714,sdf_2-piezo-graph-5A/unlabeled/box1714-filtered_combined_matrix.npy,PseudoPositive,StrongPositive,Positive,0.8508479452133179,41,0.0712716891559532
gnn_exp4,box1714,sdf_2-piezo-graph-5A/unlabeled/box1714-filtered_combined_matrix.npy,PseudoPositive,StrongPositive,Positive,0.856104370355606,41,0.0829297900835236
cnn_exp1,box1716,sdf_2-piezo-grids/unlabeled/box1716-filtered_grid_0.npy,PseudoPositive,StrongPositive,Positive,0.9993792974948884,31,
cnn_exp2,box1716,sdf_2-piezo-grids/unlabeled/box1716-filtered_grid_0.npy,PseudoPositive,StrongPositive,Positive,0.9994362711906432,31,
cnn_exp3,box1716,sdf_2-piezo-grids/unlabeled/box1716-filtered_grid_0.npy,PseudoPositive,StrongPositive,Positive,0.9994993698596956,31,
cnn_exp4,box1716,sdf_2-piezo-grids/unlabeled/box1716-filtered_grid_0.npy,PseudoPositive,StrongPositive,Positive,0.9994518983364106,31,
cnn_exp5,box1716,sdf_2-piezo-grids/unlabeled/box1716-filtered_grid_0.npy,PseudoPositive,StrongPositive,Positive,0.9992056918144226,31,
gat_exp1,box1716,sdf_2-piezo-sdf_2-graphs-5A/unlabeled/box1716-filtered_graphs.npy,PseudoPositive,StrongPositive,Positive,0.962633593082428,31,0.0349444279838809
gat_exp2,box1716,sdf_2-piezo-sdf_2-graphs-5A/unlabeled/box1716-filtered_graphs.npy,PseudoPositive,StrongPositive,Positive,0.9638335537910462,31,0.0464340927963003
gat_exp3,box1716,sdf_2-piezo-sdf_2-graphs-5A/unlabeled/box1716-filtered_graphs.npy,PseudoPositive,StrongPositive,Positive,0.9854392862319946,31,0.0150007792519866
gat_exp4,box1716,sdf_2-piezo-sdf_2-graphs-5A/unlabeled/box1716-filtered_graphs.npy,StrongPositive,StrongPositive,Positive,0.995205820798874,31,0.0052136206140276
gat_exp5,box1716,sdf_2-piezo-sdf_2-graphs-5A/unlabeled/box1716-filtered_graphs.npy,PseudoPositive,StrongPositive,Positive,0.9776582884788512,31,0.0294684968173046
gcn_exp1,box1716,sdf_2-piezo-sdf_2-graphs-5A/unlabeled/box1716-filtered_graphs.npy,PseudoPositive,PseudoPositive,Positive,0.8430833737924694,31,0.2559739927622998
