source,canonical_id,original_id,percentile_label,average_score,score_std,number_atoms
gnn_exp1,box3794,sdf_2-piezo-graph-5A/unlabeled/box3794-filtered_combined_matrix.npy,StrongPositive,0.8475192087888718,0.1260341517697207,46
gnn_exp4,box3807,sdf_2-piezo-graph-5A/unlabeled/box3807-filtered_combined_matrix.npy,StrongPositive,0.8417113506793976,0.1414529981846853,54
gnn_exp3,box3808,sdf_2-piezo-graph-5A/unlabeled/box3808-filtered_combined_matrix.npy,StrongPositive,0.8585705798864365,0.1227122802535036,50
gnn_exp5,box3830,sdf_2-piezo-graph-5A/unlabeled/box3830-filtered_combined_matrix.npy,StrongPositive,0.9020699346065522,0.0749656794442991,51
gnn_exp1,box3832,sdf_2-piezo-graph-5A/unlabeled/box3832-filtered_combined_matrix.npy,StrongPositive,0.9373580038547517,0.0525470951825394,51
gnn_exp1,box3834,sdf_2-piezo-graph-5A/unlabeled/box3834-filtered_combined_matrix.npy,StrongPositive,0.9088823807239532,0.0804904500267922,52
gnn_exp3,box3845,sdf_2-piezo-graph-5A/unlabeled/box3845-filtered_combined_matrix.npy,StrongPositive,0.8645298075675965,0.0963941761327296,30
gnn_exp2,box3847,sdf_2-piezo-graph-5A/unlabeled/box3847-filtered_combined_matrix.npy,StrongPositive,0.8917409431934357,0.0771092957466267,27
gnn_exp1,box3848,sdf_2-piezo-graph-5A/unlabeled/box3848-filtered_combined_matrix.npy,StrongPositive,0.8710883110761642,0.0993281246164225,19
gnn_exp1,box3851,sdf_2-piezo-graph-5A/unlabeled/box3851-filtered_combined_matrix.npy,StrongPositive,0.8279935097694398,0.1142922540342185,44
gnn_exp1,box3858,sdf_2-piezo-graph-5A/unlabeled/box3858-filtered_combined_matrix.npy,StrongPositive,0.921687355041504,0.0776377932084788,48
gnn_exp1,box3859,sdf_2-piezo-graph-5A/unlabeled/box3859-filtered_combined_matrix.npy,StrongPositive,0.940874160528183,0.052896153869723,44
gnn_exp1,box3866,sdf_2-piezo-graph-5A/unlabeled/box3866-filtered_combined_matrix.npy,StrongPositive,0.8278269720077515,0.111555797173946,41
gnn_exp1,box3867,sdf_2-piezo-graph-5A/unlabeled/box3867-filtered_combined_matrix.npy,StrongPositive,0.9647292339801788,0.0284617601657873,41
gnn_exp4,box4015,sdf_2-piezo-graph-5A/unlabeled/box4015-filtered_combined_matrix.npy,StrongPositive,0.8281595230102539,0.1243616849582828,57
gnn_exp1,box4028,sdf_2-piezo-graph-5A/unlabeled/box4028-filtered_combined_matrix.npy,StrongPositive,0.9549986779689787,0.0524942474254211,56
gnn_exp4,box4029,sdf_2-piezo-graph-5A/unlabeled/box4029-filtered_combined_matrix.npy,StrongPositive,0.8426973032951355,0.1024588242637738,44
gnn_exp1,box4041,sdf_2-piezo-graph-5A/unlabeled/box4041-filtered_combined_matrix.npy,StrongPositive,0.9115571093559264,0.064102954326025,40
