model,filename,percentile_label,overlap,protein_id
Chol-GNN,../../../Data/SplitData/Cholesterol/cholesterol-graph-5A/Test/CombinedUnlabeled/6LFO-f3_combined_matrix.npy,StrongNegative,0.0,
Chol-GNN,../../../Data/SplitData/Cholesterol/cholesterol-graph-5A/Test/CombinedUnlabeled/6LPK-f1_combined_matrix.npy,StrongNegative,0.0,
Chol-GNN,../../../Data/SplitData/Cholesterol/cholesterol-graph-5A/Test/CombinedUnlabeled/6LPL-f5_combined_matrix.npy,StrongNegative,0.047,
Chol-GNN,../../../Data/SplitData/Cholesterol/cholesterol-graph-5A/Test/CombinedUnlabeled/6LR4-f3_combined_matrix.npy,StrongNegative,0.0,
Chol-GNN,../../../Data/SplitData/Cholesterol/cholesterol-graph-5A/Test/CombinedUnlabeled/6LW5-f1_combined_matrix.npy,StrongNegative,0.154,
Chol-GNN,../../../Data/SplitData/Cholesterol/cholesterol-graph-5A/Test/CombinedUnlabeled/6M0Z-f1-positive_combined_matrix.npy,PseudoPositive,0.372,
Chol-GNN,../../../Data/SplitData/Cholesterol/cholesterol-graph-5A/Test/CombinedUnlabeled/6M0Z-f3_combined_matrix.npy,StrongNegative,0.0,
Chol-GNN,../../../Data/SplitData/Cholesterol/cholesterol-graph-5A/Test/CombinedUnlabeled/6M0Z-f5_combined_matrix.npy,StrongNegative,0.0,
Chol-GNN,../../../Data/SplitData/Cholesterol/cholesterol-graph-5A/Test/CombinedUnlabeled/6M2R-f1-positive_combined_matrix.npy,StrongNegative,0.278,
Chol-GNN,../../../Data/SplitData/Cholesterol/cholesterol-graph-5A/Test/CombinedUnlabeled/6M2R-f5_combined_matrix.npy,StrongNegative,0.0,
Chol-GNN,../../../Data/SplitData/Cholesterol/cholesterol-graph-5A/Test/CombinedUnlabeled/6M38-f3-positive_combined_matrix.npy,StrongPositive,0.222,
Chol-GNN,../../../Data/SplitData/Cholesterol/cholesterol-graph-5A/Test/CombinedUnlabeled/6M47-f1-positive_combined_matrix.npy,StrongNegative,0.289,
Chol-GNN,../../../Data/SplitData/Cholesterol/cholesterol-graph-5A/Test/CombinedUnlabeled/6M47-f4_combined_matrix.npy,StrongNegative,0.0,
Chol-GNN,../../../Data/SplitData/Cholesterol/cholesterol-graph-5A/Test/CombinedUnlabeled/6MSM-f2_combined_matrix.npy,StrongNegative,0.0,
Chol-GNN,../../../Data/SplitData/Cholesterol/cholesterol-graph-5A/Test/CombinedUnlabeled/6MSM-f3_combined_matrix.npy,StrongNegative,0.0,
